Text,Sentiment,Source,Date/Time,User ID,Location,Confidence Score
¡Amo este producto!,Positivo, Twitter, 2023-06-15 09:23:14, @user123,Nueva York,0.85
El servicio fue terrible.,Negativo, Yelp Reviews, 2023-06-15 11:45:32, user456,Los Angeles,0.65
¡Esta película es increíble!,Positivo, IMDb, 2023-06-15 14:10:22, moviefan789,Londres,0.92
Estoy muy decepcionado con su atención al cliente.,Negativo, Online Forum, 2023-06-15 17:35:11, forumuser1,Toronto,0.78
¡Acabo de tener la mejor comida de mi vida!,Positivo, TripAdvisor, 2023-06-16 08:50:59, foodie22,París,0.88
La calidad de este producto es deficiente.,Negativo, Amazon Reviews, 2023-06-16 10:15:27, shopper123,San Francisco,0.72
No puedo dejar de escuchar esta canción. ¡Es increíble!,Positivo, Spotify, 2023-06-16 13:40:18, musiclover456,Berlina,0.91
Su sitio web es tan fácil de usar. ¡Me encanta!,Positivo, Website Testimonial, 2023-06-16 16:05:36, testimonialuser1,Sydney,0.87
¡Me encantó la película! ¡Fue fantástico!,Positivo, IMDb, 2023-07-02 09:12:34, user123,Nueva York,0.92
El servicio al cliente fue terrible.,Negativo, Yelp Reviews, 2023-07-02 10:45:21, user456,Los Angeles,0.65
Este libro me hizo sentir inspirado. ¡Muy recomendable!,Positivo, Goodreads, 2023-07-02 12:34:56, bookworm789,Londres,0.88
Estoy extremadamente decepcionado con la calidad de su producto.,Negativo, Online Store, 2023-07-02 15:21:43, shopper789,San Francisco,0.72
¡Acabo de tener las vacaciones más increíbles! No puedo esperar para volver.,Positivo, TripAdvisor, 2023-07-02 18:01:23, travelenthusiast1,Sydney,0.93
La comida en este restaurante era horrible. ¡Nunca volver a volver!,Negativo, Zomato, 2023-07-02 20:45:37, foodlover123,Mumbai,0.55
No puedo dejar de escuchar esta canción. ¡Es mi nuevo favorito!,Positivo, Spotify, 2023-07-03 09:17:52, musiclover789,Berlina,0.91
Su sitio web es muy confuso y mal diseñado.,Negativo, Website Review, 2023-07-03 11:59:18, user789,Toronto,0.68
Tuve una experiencia increíble en el parque temático. ¡Muy divertido!,Positivo, Trip Report, 2023-07-03 14:40:05, thrillseeker1,Orlando,0.89
El producto llegó dañado. Muy decepcionado.,Negativo, Online Store, 2023-07-03 17:25:09, buyer123,Chicago,0.76
El concierto fue absolutamente impresionante. ¡Mejor actuación de todos!,Positivo, Event Review, 2023-07-03 20:15:33, musicfan456,París,0.95
Tuve una experiencia terrible con su atención al cliente.,Negativo, Online Chat, 2023-07-04 08:32:41, user1234,Sydney,0.61
¡Esta película es una obra maestra! Me quedé impresionado.,Positivo, IMDb, 2023-07-04 14:05:27, cinephile789,Los Angeles,0.93
El servicio al cliente en esta tienda es de primera categoría.,Positivo, Yelp Reviews, 2023-07-04 16:35:19, shopper456,Nueva York,0.82
Estoy decepcionado con el final de este libro. Cayó plano.,Negativo, Goodreads, 2023-07-04 19:18:53, booklover123,Londres,0.68
El producto que recibí fue dañado. Inaceptable.,Negativo, Online Store, 2023-07-04 21:52:41, buyer789,San Francisco,0.75
Solo tuve la peor experiencia de vuelo. Personal retrasado y grosero.,Negativo, Airline Review, 2023-07-05 09:10:15, traveler456,Sydney,0.57
¡La estadía del hotel fue absolutamente increíble! Lujo en su máxima expresión.,Positivo, TripAdvisor, 2023-07-05 12:30:08, traveladdict1,París,0.95
La comida en este restaurante fue excepcional. ¡Muy recomendable!,Positivo, Zomato, 2023-07-05 15:45:32, foodie789,Mumbai,0.89
Esta lista de reproducción es mi opción para los entrenamientos. ¡Energizante y motivador!,Positivo, Spotify, 2023-07-05 18:20:17, gymrat123,Berlina,0.91
Tuve una experiencia frustrante navegando a través de su sitio web.,Negativo, Website Review, 2023-07-05 21:05:44, user987,Toronto,0.67
¡El paseo en la montaña rusa fue emocionante! ¡Excitación con el corazón sincero!,Positivo, Theme Park Review, 2023-07-06 08:48:39, thrillseeker2,Orlando,0.92
El producto que pedí nunca llegó. Terrible servicio.,Negativo, Online Store, 2023-07-06 11:25:56, customer123,Chicago,0.64
No puedo tener suficiente de esta banda. ¡Su música es increíble!,Positivo, Music Review, 2023-07-06 14:15:23, musiclover987,Londres,0.94
